iter	RMSE
0	1.123646822
1	1.07013881
2	1.01978155
3	0.9733068713
4	0.9288779121
5	0.8873703634
6	0.8473493026
7	0.808877473
8	0.7734158875
9	0.7396001156
10	0.7094118576
11	0.6796654206
12	0.6506187083
13	0.6249381643
14	0.6009870908
15	0.5792479198
16	0.5572312967
17	0.5370808402
18	0.5181647036
19	0.5012849726
20	0.4849428568
21	0.4697052354
22	0.4553842905
23	0.44262228
24	0.4303115675
25	0.4181085042
26	0.4073461093
27	0.3979029827
28	0.3882618616
29	0.3794921782
30	0.3718156016
31	0.3642665248
32	0.3572043953
33	0.351018719
34	0.3441964064
35	0.3377286193
36	0.3320695664
37	0.3268059104
38	0.3222315607
39	0.3177759238
40	0.3141805597
41	0.3103990241
42	0.3070003651
43	0.303310998
44	0.3002511625
45	0.2970070079
46	0.2941520693
47	0.2918007158
48	0.2895339695
49	0.2872091595
50	0.2848797294
51	0.282489432
52	0.2799892082
53	0.2781392487
54	0.2759831305
55	0.2741201315
56	0.2727397461
57	0.2713123212
58	0.2699027942
59	0.2683812593
60	0.2671686288
61	0.2660304953
62	0.2644621552
63	0.2633600246
64	0.2623363682
65	0.2611978433
66	0.259733496
67	0.2589916039
68	0.2577117203
69	0.2564923251
70	0.2555168675
71	0.2544796868
72	0.2534251112
73	0.2524826872
74	0.2514207701
75	0.2505419922
76	0.2495763274
77	0.2487253528
78	0.2481232446
79	0.2473264689
80	0.2463726766
81	0.2456162501
82	0.2448715112
83	0.2442785695
84	0.2434059578
85	0.2428179748
86	0.2423721675
87	0.2417929625
88	0.2410076993
89	0.2402450045
90	0.2396308908
91	0.2392597454
92	0.2388935601
93	0.2382724465
94	0.2376407098
95	0.2371607512
96	0.2368118006
97	0.2362540628
98	0.2356214124
99	0.2348742934
100	0.2345821388
101	0.2339865301
102	0.2332261312
103	0.2330682456
104	0.2325413115
105	0.2321500563
106	0.2316229132
107	0.2311773489
108	0.2307731136
109	0.2306074686
110	0.2302963461
111	0.2297544376
112	0.2293205167
113	0.2285842996
114	0.2278678415
115	0.2273999639
116	0.2271958714
117	0.2265496873
118	0.2261146425
119	0.2258261195
120	0.2251934193
121	0.2248632372
122	0.2244793505
123	0.2241175224
124	0.2235901316
125	0.2232221023
126	0.2228406482
127	0.2223410095
128	0.2219620879
129	0.2213073041
130	0.2208152583
131	0.2201973491
132	0.2196453862
133	0.2194406831
134	0.2192543997
135	0.2189466062
136	0.2185391703
137	0.2181339613
138	0.2177944978
139	0.2173997166
140	0.2170913875
141	0.2168020728
142	0.2164439597
143	0.2158043353
144	0.2154698821
145	0.215133407
146	0.2146329109
147	0.2143713604
148	0.2138994382
149	0.2133586242
150	0.2129695074
151	0.2124698623
152	0.2118894678
153	0.211595616
154	0.2113759146
155	0.2111834446
156	0.211008664
157	0.2106244046
158	0.2105170612
159	0.2100755768
160	0.209818904
161	0.2095784207
162	0.2093045619
163	0.2090740181
164	0.2087239266
165	0.2084979814
166	0.2080937227
167	0.2076613946
168	0.2071404858
169	0.2069437524
170	0.2066298471
171	0.2063510799
172	0.2061504051
173	0.2057315708
174	0.2055006498
175	0.2051374586
176	0.2048193344
177	0.2043397252
178	0.204090129
179	0.2039156745
180	0.2037249945
181	0.2034257973
182	0.2031540241
183	0.2028900259
184	0.2024983125
185	0.2022771306
186	0.2019551923
187	0.2015017582
188	0.2010403137
189	0.200733186
190	0.2006097938
191	0.2004350563
192	0.2001804685
193	0.1998371198
194	0.1996593606
195	0.1993158561
196	0.1991213284
197	0.1986194958
198	0.1984205383
199	0.1979992596
200	0.1975672831
201	0.1971423683
202	0.1967059624
203	0.1964466465
204	0.1961414499
205	0.1958803172
206	0.1956149161
207	0.1953130608
208	0.194974561
209	0.1947740033
210	0.1945843573
211	0.1943601293
212	0.1940068541
213	0.1935621836
214	0.1932718443
215	0.1930084892
216	0.1926146794
217	0.1924537567
218	0.1921820705
219	0.1919652935
220	0.1917961017
221	0.1916153348
222	0.191371874
223	0.1910592448
224	0.1908211666
225	0.1906058015
226	0.1903407215
227	0.1899887793
228	0.1897022242
229	0.1895084276
230	0.1891842659
231	0.1888884732
232	0.1887772057
233	0.188541373
234	0.1882468177
235	0.1881781931
236	0.1880947592
237	0.1878730912
238	0.1876426532
239	0.1873247652
240	0.1870236669
241	0.1869049012
242	0.1865436072
243	0.1863371276
244	0.1861357302
245	0.1859039341
246	0.185689989
247	0.1854072397
248	0.18519017
249	0.1848819813
250	0.1846063908
251	0.1844055089
252	0.1842330832
253	0.1839646707
254	0.183762372
255	0.1835636098
256	0.1833454701
257	0.1831165651
258	0.1829831868
259	0.18285678
260	0.1825662531
261	0.1823292057
262	0.1820468626
263	0.1817683144
264	0.1815073842
265	0.1813330711
266	0.1810273394
267	0.1808734054
268	0.180717969
269	0.1805575378
270	0.1804294317
271	0.1801397177
272	0.179875405
273	0.1796975278
274	0.1795136927
275	0.1793004923
276	0.1791055396
277	0.1789050401
278	0.1787209722
279	0.1786194156
280	0.1784295432
281	0.1783057367
282	0.1781358696
283	0.1778088094
284	0.1775287868
285	0.1773706355
286	0.1771751591
287	0.1770055685
288	0.1768303021
289	0.1765365741
290	0.1763227637
291	0.1761234654
292	0.1759830677
293	0.1757831272
294	0.1755644529
295	0.1753343312
296	0.1752676662
297	0.1750917628
298	0.1749537928
299	0.1747926615
300	0.1746082028
301	0.1743164411
302	0.1740589873
303	0.1738788531
304	0.1736674473
305	0.1734200603
306	0.1732328359
307	0.1730571509
308	0.1728975623
309	0.17263482
310	0.1724128595
