iter	Passed	Remaining
0	2	798
1	4	706
2	6	675
3	8	664
4	11	660
5	13	666
6	16	673
7	18	668
8	20	662
9	22	657
10	24	653
11	27	649
12	29	645
13	31	651
14	34	649
15	36	645
16	38	641
17	40	638
18	43	636
19	45	635
20	47	635
21	49	631
22	52	630
23	54	627
24	56	625
25	59	622
26	61	620
27	63	619
28	66	617
29	68	614
30	70	611
31	72	609
32	74	606
33	77	604
34	79	601
35	81	600
36	84	597
37	86	594
38	88	591
39	90	589
40	92	586
41	95	584
42	97	584
43	100	582
44	102	580
45	104	578
46	106	575
47	109	572
48	111	570
49	113	569
50	116	566
51	118	563
52	120	561
53	122	558
54	124	556
55	127	553
56	129	552
57	131	549
58	134	547
59	136	545
60	138	542
61	140	540
62	143	538
63	145	536
64	147	534
65	150	532
66	152	530
67	154	528
68	157	526
69	159	523
70	161	521
71	164	520
72	166	518
73	168	515
74	171	513
75	173	511
76	175	509
77	178	506
78	180	505
79	183	503
80	185	501
81	187	498
82	189	496
83	192	493
84	194	491
85	196	489
86	199	487
87	201	485
88	203	482
89	205	480
90	208	478
91	210	475
92	213	474
93	215	471
94	217	469
95	219	467
96	222	465
97	224	462
98	226	460
99	229	459
100	231	456
101	234	454
102	236	452
103	238	449
104	240	447
105	243	444
106	245	442
107	247	440
108	250	438
109	252	435
110	254	433
111	256	430
112	258	428
113	261	426
114	263	424
115	265	421
116	268	419
117	270	417
118	272	414
119	274	412
120	277	410
121	279	408
122	282	406
123	284	404
124	287	401
125	289	399
126	291	397
127	294	395
128	296	393
129	298	390
130	301	388
131	303	386
132	305	383
133	307	381
134	310	378
135	312	376
136	314	374
137	316	372
138	319	369
139	321	367
140	323	364
141	325	362
142	328	360
143	330	357
144	332	355
145	334	352
146	336	350
147	340	350
148	343	347
149	345	345
150	347	343
151	350	340
152	352	338
153	354	336
154	356	333
155	358	331
156	361	328
157	363	326
158	365	324
159	367	321
160	369	319
161	371	316
162	373	314
163	376	311
164	378	309
165	380	307
166	382	304
167	384	302
168	387	300
169	389	297
170	391	295
171	394	293
172	396	291
173	399	289
174	401	286
175	403	284
176	406	282
177	408	279
178	410	277
179	413	275
180	415	273
181	417	270
182	419	268
183	422	266
184	424	263
185	426	261
186	429	259
187	431	256
188	433	254
189	435	252
190	438	250
191	440	247
192	443	245
193	445	243
194	447	240
195	449	238
196	451	236
197	454	233
198	456	231
199	458	229
200	461	227
201	463	224
202	465	222
203	468	220
204	470	217
205	472	215
206	474	213
207	477	211
208	479	208
209	481	206
210	484	204
211	486	201
212	488	199
213	490	197
214	493	194
215	495	192
216	497	190
217	499	187
218	501	185
219	503	183
220	505	180
221	507	178
222	510	176
223	512	173
224	514	171
225	516	169
226	518	166
227	520	164
228	522	162
229	525	159
230	527	157
231	529	155
232	531	152
233	533	150
234	535	148
235	537	145
236	540	143
237	542	141
238	545	139
239	547	136
240	549	134
241	551	132
242	554	129
243	556	127
244	558	125
245	560	123
246	563	120
247	565	118
248	567	116
249	569	113
250	571	111
251	574	109
252	576	107
253	579	104
254	581	102
255	583	100
256	586	98
257	588	95
258	591	93
259	593	91
260	595	89
261	598	86
262	600	84
263	602	82
264	605	79
265	607	77
266	609	75
267	612	73
268	614	70
269	617	68
270	620	66
271	623	64
272	625	61
273	627	59
274	630	57
275	632	55
276	634	52
277	637	50
278	639	48
279	642	45
280	644	43
281	646	41
282	648	38
283	651	36
284	653	34
285	655	32
286	658	29
287	660	27
288	663	25
289	665	22
290	675	20
291	677	18
292	679	16
293	681	13
294	684	11
295	686	9
296	688	6
297	690	4
298	693	2
299	695	0
